"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword kids should display the corresponding article","SUCCESS","2021-04-27T17:47:29.6894866+03:00[Europe/Athens]","0.0","8.26"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2021-04-27T17:47:38.672562+03:00[Europe/Athens]","0.0","3.79"
"Search by keyword story","Searching by keyword color should display the corresponding article","SUCCESS","2021-04-27T17:47:42.6678992+03:00[Europe/Athens]","0.0","4.64"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-04-27T17:47:47.4670871+03:00[Europe/Athens]","0.0","0.35"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2021-04-27T17:47:48.0466812+03:00[Europe/Athens]","0.0","4.43"
