"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword jeans invalid should display the corresponding article","ERROR","2021-05-18T16:29:09.6900706+03:00[Europe/Athens]","0.0","8.7"
"Search by keyword story","Searching by keyword jeans should display the corresponding article","ERROR","2021-05-18T16:29:18.6993951+03:00[Europe/Athens]","0.0","9.34"
